mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
ZDHHC3,hsa-mir-589,-0.316241819,0.009686374,0.09159578,0.593206618,0.001775291,0.050032249,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.9134086056198503,1.5907800827445417
TMEM33,hsa-mir-652,-0.313871814,0.01027616,0.095355808,0.68882556,0.000140422,0.010739512,targetprofiler-NO,targetscan-Yes,miRanda-NO,3.5835954277223188,0.7755690610464597
LDLRAP1,hsa-mir-940,0.379053759,0.001697409,0.025509595,-0.557303668,0.003802303,0.076781995,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.916796567870705,0.8244011191428098
RHOBTB2,hsa-mir-181d,0.313250273,0.010435904,0.096362916,-0.579436734,0.002402001,0.059396671,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.6560034887557575,0.32684455728148476
EID2B,hsa-mir-203,-0.340836273,0.005103272,0.058217143,0.556139077,0.003891961,0.077709467,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.5900304929264777,0.4947712619017015
IBTK,hsa-mir-203,-0.317144505,0.009469609,0.090215233,0.729303949,3.53E-05,0.004297912,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.6826747519806466,0.4947712619017015
PLEKHH1,hsa-mir-506,0.311449509,0.010910961,0.099347568,-0.553740564,0.004082262,0.079807292,targetprofiler-Yes,targetscan-NO,miRanda-Yes,1.826984771104962,0.10634235571036713
EIF4G3,hsa-mir-378,0.386505645,0.001348052,0.021343659,-0.678144539,0.000195036,0.013293652,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7713313066720495,0.7375206885545217
PTK6,hsa-mir-1307,0.42356453,0.000394572,0.007992134,-0.645827385,0.000488533,0.023285077,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.24685335652942997,1.298252006969118
FAM57A,hsa-mir-221,-0.454152985,0.00012802,0.003135534,0.685059077,0.000157912,0.011590047,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.4982151213311746,12.197263479487585
CHODL,hsa-mir-500a,0.483920563,3.85E-05,0.001125915,-0.557435739,0.003792247,0.076664131,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.04284910517109096,0.6670667639650659
OSBPL3,hsa-mir-506,0.326024509,0.007552514,0.076993329,-0.568837713,0.003004787,0.06733066,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.0702704365667424,0.10634235571036713
METTL8,hsa-mir-891a,-0.330897737,0.006652273,0.070374033,0.675667992,0.000210078,0.013906372,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8006877126133048,240.28879859525105
TSPYL4,hsa-mir-664,-0.368686719,0.002318461,0.032423274,0.617908882,0.000996589,0.035838122,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.528490853653827,1.3211091665647348
AGXT2,hsa-let-7i,0.343387136,0.0047611,0.055400056,-0.571055398,0.002869022,0.065589551,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.001098996723700525,0.9353365305299441
ALDH4A1,hsa-mir-652,0.452873664,0.000134481,0.003267052,-0.556762336,0.003843758,0.077239923,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.14151698075647196,0.7755690610464597
C1orf95,hsa-mir-589,-0.315561809,0.009852506,0.09266874,0.680162816,0.000183484,0.012779384,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7837723063095633,1.5907800827445417
SLC12A6,hsa-mir-629,0.329701396,0.006864076,0.071941227,-0.547552222,0.004609945,0.085382293,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0850596213537875,1.3329442564717202
AR,hsa-mir-30a,0.32770193,0.007231287,0.074648951,-0.662325172,0.000309875,0.017686256,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9697944589914188,0.6143766054341347
TRIM59,hsa-mir-338,0.384048619,0.001455332,0.022661759,-0.554073775,0.004055363,0.07953219,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1513097586528842,0.5035705867496062
LGI2,hsa-mir-323,0.896231238,0,0,-0.549788376,0.004412992,0.083409328,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.15273096828387706,0.7790574031780324
STK40,hsa-mir-642a,0.458301319,0.000108982,0.002736056,-0.698619757,0.00010264,0.008735659,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.1802267464380758,2.3474006021598326
OGG1,hsa-let-7i,0.364138701,0.002649911,0.035851202,-0.533132527,0.006066571,0.099001634,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.5354160144095881,0.9353365305299441
ARL17A,hsa-mir-377,0.328737298,0.007039043,0.073224109,-0.594517565,0.001723711,0.049188478,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5600052429499178,0.5793353782878355
GOT2,hsa-mir-592,0.383444698,0.00148285,0.022985589,-0.745719177,1.88E-05,0.002805633,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.7309437060827761,2.0579267405545716
CECR2,hsa-mir-31,0.445623139,0.00017712,0.004117493,-0.616169556,0.00103956,0.036715828,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9292554172102202,0.8368724603851131
