mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
ARMCX3,hsa-mir-940,0.113265906,0.013026075,0.059087401,-0.430548878,0.003530334,0.061816375,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6419403222171178,2.3668833808990555
LRP6,hsa-mir-15b,0.169556255,0.000189844,0.002099589,-0.42997097,0.003579842,0.062333666,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.8727504990088674,2.0178701517077338
FBXL17,hsa-mir-487a,-0.104710248,0.021766699,0.086616405,0.439797103,0.002815779,0.053644782,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.5020585337129193,0.7692310038798872
BTRC,hsa-mir-3934,-0.151720586,0.000853954,0.00709004,0.446983996,0.002351694,0.047756282,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7870211190976026,2.619507771936915
EPT1,hsa-mir-1301,0.129323613,0.004541486,0.026462148,-0.46164378,0.001608899,0.037430877,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.176729914943877,3.876400506545548
CCT4,hsa-mir-150,-0.204335437,6.40E-06,0.000124747,0.414438285,0.005159227,0.07802657,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3466907053219441,1.1709859241553229
MYO18A,hsa-mir-612,-0.111627566,0.014408621,0.063710745,0.510362264,0.000401137,0.014766408,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.5239756633765327,1.7451278274183726
RBBP4,hsa-mir-93,0.206533866,5.06E-06,0.000101998,-0.596897054,1.90E-05,0.001695895,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.0655942471543505,2.8644525845689044
ZNF326,hsa-mir-203,-0.15076272,0.000921725,0.007533436,0.487013363,0.000800795,0.023594389,targetprofiler-NO,targetscan-Yes,miRanda-Yes,0.993688206920299,0.8036784341685153
MYEF2,hsa-mir-17,0.267776234,2.51E-09,1.39E-07,-0.531065836,0.000208189,0.009398233,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7435291915689899,1.656091280496897
SRGAP3,hsa-mir-17,0.140684657,0.002004344,0.013977405,-0.527127161,0.000236626,0.010261649,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.7406729847232091,1.656091280496897
JKAMP,hsa-mir-200c,-0.173539236,0.00013282,0.001565049,0.398309873,0.007409911,0.097380065,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.279635244718222,1.534260772762252
SLC35E4,hsa-mir-25,-0.154145951,0.000702412,0.006060176,0.416906389,0.004873622,0.075371273,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.218182540823826,1.8292872712418002
DCP1A,hsa-mir-27a,-0.141628915,0.001867484,0.0132161,0.411503307,0.005517732,0.081345722,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7066965521470572,1.3470326221453561
KIF13B,hsa-mir-1180,-0.152614696,0.000794879,0.006695411,0.505617687,0.000463496,0.016306815,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.469014315010727,2.168548585130776
ALG10B,hsa-mir-25,0.260927861,6.53E-09,3.23E-07,-0.420868674,0.004443899,0.071196666,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.267494761116744,1.8292872712418002
MAGED4B,hsa-mir-708,0.178429837,8.47E-05,0.00108267,-0.440221587,0.002786283,0.053248962,targetprofiler-Yes,targetscan-NO,miRanda-NO,3.382401402143876,2.530408166098512
PDAP1,hsa-mir-150,-0.140562617,0.002022687,0.014076061,0.506259312,0.000454582,0.016086157,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.3062471535086277,1.1709859241553229
WDTC1,hsa-mir-15b,0.220885746,1.02E-06,2.61E-05,-0.409655108,0.005754438,0.083453172,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.7300088592649389,2.0178701517077338
RBMS3,hsa-mir-378,-0.10199516,0.025443291,0.097122541,0.475507197,0.001106169,0.029268665,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.6268684119355917,0.3047417390058125
ARMCX5,hsa-mir-25,0.230231647,3.40E-07,1.01E-05,-0.525780764,0.000247124,0.010587172,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.796390566013053,1.8292872712418002
MAP2K7,hsa-mir-1180,0.117566186,0.009938123,0.048164943,-0.405105879,0.006375001,0.088816884,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.0800920514715149,2.168548585130776
ZNF594,hsa-mir-17,0.124370351,0.00636593,0.034313925,-0.433647629,0.003274973,0.058958115,targetprofiler-Yes,targetscan-Yes,miRanda-NO,1.4791377596834259,1.656091280496897
HMGN1,hsa-mir-203,-0.147975777,0.001148181,0.008976773,0.547465706,0.000120065,0.006407625,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.2340407871730306,0.8036784341685153
C1orf226,hsa-mir-378,0.139150841,0.00224633,0.015289793,-0.4717014,0.001227908,0.031360693,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3870955130516949,0.3047417390058125
EXOG,hsa-mir-651,0.122934964,0.007005519,0.036922722,-0.431843808,0.003421573,0.060604229,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.333082083267068,1.5793257741094657
NCAPD3,hsa-mir-363,0.155234209,0.000642867,0.005646255,-0.40520114,0.006361435,0.08870311,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.3608742069615272,1.5673658659167138
MEN1,hsa-mir-432,0.145331953,0.001409362,0.010570582,-0.531080113,0.000208092,0.009394844,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4058671518787673,0.5078276819463698
OSBPL1A,hsa-mir-940,0.115973735,0.010996292,0.052006834,-0.506582102,0.000450157,0.015983738,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.6034248991740473,2.3668833808990555
ATR,hsa-mir-378,0.108770142,0.017130415,0.072573555,-0.419530887,0.004585132,0.072576783,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.3347444140234952,0.3047417390058125
C18orf55,hsa-mir-598,0.213703165,2.31E-06,5.23E-05,-0.404061006,0.006525461,0.090080207,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.7829350733773139,0.885418895228065
PTCHD1,hsa-mir-93,0.190660705,2.61E-05,0.000406814,-0.440247991,0.002784457,0.053224934,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6112301260427747,2.8644525845689044
SACS,hsa-mir-183,0.112881398,0.013339596,0.060142152,-0.593150656,2.21E-05,0.001895004,targetprofiler-Yes,targetscan-Yes,miRanda-Yes,0.6886168160006166,3.3582592596064034
AKAP7,hsa-mir-3942,0.105023569,0.021373651,0.085474054,-0.551294329,0.000105149,0.005828956,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.6405649066106143,1.0682443928218586
DENND1A,hsa-mir-23b,0.208416866,4.13E-06,8.59E-05,-0.543497834,0.000137526,0.007033938,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.3315398901444264,0.7730188912013324
IL31RA,hsa-mir-96,-0.173662731,0.00013134,0.001550457,0.408433818,0.00591565,0.084898507,targetprofiler-Yes,targetscan-NO,miRanda-NO,2.4635125628332717,3.1608819654514546
PGAM4,hsa-mir-23b,-0.194746689,1.73E-05,0.000288651,0.557974072,8.31E-05,0.004940184,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.1783435696434843,0.7730188912013324
PDHA1,hsa-mir-382,-0.129854096,0.004377205,0.025715512,0.668371747,7.13E-07,0.000140311,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.6759043188514104,0.7283967193541555
DHX40,hsa-mir-93,0.21361442,2.33E-06,5.28E-05,-0.543637506,0.000136875,0.007010173,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9319825147213895,2.8644525845689044
ARL17A,hsa-mir-22,-0.214853579,2.03E-06,4.69E-05,0.409812738,0.005733911,0.083254503,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.019052528463498,0.9458165039109742
