mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
PLEKHA8,hsa-mir-589,0.166959803,0.004291046,0.030365319,-0.532638152,0.001699215,0.031433122,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8838172276843018,2.3749655378420624
UCP2,hsa-mir-1226,0.172591912,0.003139678,0.024110008,-0.442345387,0.011243853,0.098742461,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.9458519066870612,1.5382551927673023
EPHX3,hsa-mir-940,0.139873412,0.016961591,0.082329777,-0.663781288,3.45E-05,0.002726135,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9345046175574064,1.0800878066046804
PIAS3,hsa-mir-940,0.167271779,0.004218455,0.029994564,-0.697491356,9.14E-06,0.001161367,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.9131660584349058,1.0800878066046804
RASAL2,hsa-mir-17,-0.196461776,0.000752062,0.008184382,0.493051881,0.004141146,0.054048049,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8627510351161325,1.608467635400364
SAMD12,hsa-mir-380,-0.148261715,0.011332389,0.061752981,0.471147405,0.006492506,0.070968151,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2685621697440883,0.3848957386123192
C17orf28,hsa-mir-660,-0.192627011,0.000957208,0.009837391,0.525048983,0.002032519,0.035109603,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.9138854858669611,0.45860803762697094
C1orf186,hsa-mir-136,-0.216240781,0.000201614,0.002965611,0.488711621,0.004537567,0.057111092,targetprofiler-Yes,targetscan-Yes,miRanda-NO,13.8177126494348,0.2448088010225219
CCDC85C,hsa-mir-203,0.168346594,0.003976771,0.028704347,-0.763288533,3.77E-07,0.00014173,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.6648249663066014,0.5891323741828147
ATP10A,hsa-mir-378,-0.25200457,1.36E-05,0.0003417,0.637495812,8.70E-05,0.004873809,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.9505656312711138,0.6700115691289259
IRF3,hsa-mir-34a,-0.139897794,0.016942205,0.082263097,0.527854387,0.001903221,0.033719396,targetprofiler-NO,targetscan-NO,miRanda-Yes,1.715633882670751,2.9440272986452842
