mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda,mRNA_FC,miRNA_FC
ZFP14,hsa-mir-548q,0.180501506,0.000484893,0.006131285,-0.393699686,0.004673939,0.094753484,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.6064067604898218,0.8011990281459351
AP1G1,hsa-mir-940,-0.20617883,6.46E-05,0.001201307,0.441937501,0.001313032,0.046091609,targetprofiler-Yes,targetscan-Yes,miRanda-NO,0.772979240215415,1.5813281323372628
SLC4A5,hsa-mir-217,-0.137635619,0.008021987,0.052632976,0.392907889,0.004765205,0.095811752,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.6072206673771943,15.907489243185687
FABP4,hsa-mir-30e,0.123483099,0.017486865,0.092541871,-0.462657968,0.000717202,0.032165414,targetprofiler-NO,targetscan-NO,miRanda-Yes,7.311401113321446,0.5838831823567199
MAGED4,hsa-mir-497,-0.128189317,0.013601659,0.07734391,0.486329567,0.000342521,0.020534579,targetprofiler-Yes,targetscan-NO,miRanda-NO,9.467406716044877,0.4795203830066869
ARHGDIB,hsa-mir-34a,-0.180752487,0.000476022,0.006039777,0.4234374,0.002184129,0.061873931,targetprofiler-Yes,targetscan-NO,miRanda-Yes,0.9052379837026877,2.1684448097315863
FKBP4,hsa-mir-183,0.153291259,0.003115277,0.025923257,-0.45029949,0.001033385,0.039949018,targetprofiler-NO,targetscan-Yes,miRanda-Yes,1.21218943127727,12.838288919753518
EDNRA,hsa-mir-186,-0.136129411,0.008745244,0.056089227,0.390289223,0.005078263,0.099329399,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.4157425148786138,1.0617326051794624
DENND5B,hsa-mir-624,0.162305475,0.001734801,0.016570493,-0.408235018,0.003250018,0.077466225,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.7303218315232749,0.7232022253815432
SP100,hsa-mir-222,-0.137271535,0.008191746,0.053450964,0.586798088,7.51E-06,0.001570992,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.8966541877344738,2.2730643232510412
RAPGEFL1,hsa-mir-381,0.214763582,3.10E-05,0.000657297,-0.400587499,0.003942489,0.086177391,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.935588295820507,1.0856640645190887
ATP1A3,hsa-mir-140,-0.152492372,0.003276419,0.026940879,0.745885407,5.11E-10,8.46E-07,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.737994380717295,1.4701072398454291
OBSCN,hsa-mir-140,-0.136534721,0.008545124,0.055141894,0.716236019,4.98E-09,5.65E-06,targetprofiler-NO,targetscan-Yes,miRanda-NO,5.732569706920407,1.4701072398454291
SP100,hsa-mir-3684,-0.121898073,0.018997775,0.098179065,0.426057988,0.002035714,0.059417068,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8966541877344738,1.5595173449225759
PRKCI,hsa-mir-93,0.147514335,0.004462605,0.033997704,-0.428507605,0.001905155,0.05712817,targetprofiler-Yes,targetscan-NO,miRanda-NO,1.3054668392361428,2.892475735858317
RILPL2,hsa-mir-224,-0.190134466,0.00023457,0.003432004,0.474134386,0.000504573,0.026095894,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.738758250633811,8.209438559205468
ZADH2,hsa-mir-130a,0.129664136,0.012551572,0.072991204,-0.442172466,0.001304332,0.045887883,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.49326944802364486,0.43533605278798004
CD3E,hsa-mir-34a,-0.15507045,0.002781954,0.023780889,0.465568797,0.000656764,0.030571089,targetprofiler-NO,targetscan-NO,miRanda-Yes,0.8983562047896211,2.1684448097315863
LRTOMT,hsa-mir-17,-0.152369443,0.003301875,0.027103173,0.39642533,0.004371374,0.091295975,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.9328572399803344,1.8340438827037733
PGAP2,hsa-mir-299,0.170111945,0.00101957,0.010986635,-0.434876621,0.001599862,0.051678345,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2119268647249557,1.2806115292058793
FAM188B,hsa-mir-140,-0.154727389,0.002843583,0.024178362,0.419046835,0.002454389,0.066199251,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.508573568553776,1.4701072398454291
ABT1,hsa-mir-452,0.150590066,0.003691,0.029490059,-0.410629435,0.00305648,0.074972861,targetprofiler-NO,targetscan-Yes,miRanda-NO,1.2723771785667763,4.7614685934892576
SOX12,hsa-mir-382,0.258624695,4.56E-07,1.85E-05,-0.43686223,0.001514038,0.050053596,targetprofiler-NO,targetscan-Yes,miRanda-NO,2.77179970932321,1.8855490952282894
IL1RAP,hsa-mir-378,-0.157532161,0.002374173,0.021081127,0.441501146,0.001329325,0.046443527,targetprofiler-Yes,targetscan-NO,miRanda-NO,0.2599453878853663,0.5723068748425597
DNAJC27,hsa-mir-410,-0.134482726,0.009601847,0.060089249,0.403427555,0.003671503,0.082806811,targetprofiler-NO,targetscan-Yes,miRanda-NO,0.8288596587889963,3.1564484092806464
